absentia absentiae absence
aetas aetatis age
ager agri field
amor amoris love
animus animi Spirit
annus anni year
aqua aquae water
arma armorum weapons
ars artis skill
aurum auri gold
beneficium beneficii service
bellum belli war
caelum caeli heavens
caput capitis head
carmen carminis song
castrum castri camp
casus casus accident
causa causae cause
consilium consilii plan
coniunx coniugis spouse
consul consulis consul
copia copiae abundance
corpus corporis body
decus decoris beauty
deus dei god
dies diei day
dolor doloris grief
dominus domini lord
domus domus house
donum doni gift
dux ducis leader
eques equitis horseman
equus equi horse
exemplum exempli example
exercitus exercitus army
fama famae rumor
fatum fati fate
ferrum ferri iron
fides fidei faith
filius fili son
finis finis boundary
flamma flammae flame
flumen fluminis river
fortuna fortunae fortune
frater fratris brother
gens gentis family
genus generis origin
gloria gloriae glory
gradus gradus step
gratia gratiae favor
homo hominis human
honor honoris honor
hora horae hour
hostis hostis enemy
ignis ignis fire
imperium imperii command
impetus impetus attack
ingenium ingenii disposition
iniuria iniuriae injustice
ira irae anger
iter itineris journey
iugum iugi yoke
ius iuris right
iuvenis iuvenis youth
kadamitas kadamitatis blight
labor laboris toil
lacrima lacrimae tear
latus lateris side
laus laudis praise
legatus legati envoy
legio legionis legion
lex legis law
litus litoris shore
locus loci place
lumen luminis light
manus manus hand
mare maeis sea
mater matris mother
mens mentis mind
metus metus fear
miles militis soldier
modus modi measure
mons montis mountain
mors mortis death
mos moris custom
natura naturae nature
natus nati son
navis navis ship
nemus nemoris grove
nihil nil nothing
nomen nominis name
nox noctis night
numen numinis deity
numerus numeri number
oculus oculi eye
odium odii hatred
officium officii service
ops opis assistance
oppidum oppidi town
opus operis work
orbis orbis circle
ordo ordinis order
os oris mouth
parens parentis parent
patria patriae fatherland
pectus pectoris chest
periculum periculi danger
pes pedis foot
poena poenae punishment
populus populi people
proelium proelii battle
puella puellae girl
puer pueri boy
ratio rationis method
regio regionis region
regnum regni kingdom
res rei thing 
saxum saxi rock
scelus sceleris crime
sedes sedis seat
senatus senatus senate
sidus sideris star
signum signi sign
silva silvae forest
sol solis sun
spatium spatii space
spes spei hope
tectum tecti building
telum teli weapon
templum templi temple
tempus temporis time
tergum tergi back
terra terrae earth
timor timoris fear
turba turbae crowd
uliginosum uliginosi swamp
ulna ulnae forearm
ultio ultionis revenge
ululatus ululatus howling
ulva ulvae grass
unda undae wave
urceus urcei jug
urina urinae urine
utlagatus utlagati outlaw
utriculus utriculi wineskin
vacatio vacationis freedom
vacca vaccae cow
vadum vadi ford
valles vallis valley
vallum valli wall
veritas veritatis truth
vir viri man
virgo virginis virgin
vita vitae life
vulnus vulneris wound
wadiarius wadiarii security
warantia warantiae warranty
warantizatio warantizationis warranty
warantus waranti warrantor
warra warrae retaliation
werra werrae retaliation
wormacia wormaciae worms
xeniolum xenioli gift
xenophobia xenophobiae hatred
xiphias xiphiae swordfish
xvir xviri decemvir
xylophonum xylophoni xylophone
xysticus xystici athlete
zabulus zabuli devil
zaeta zaetae cabin
zaeta zaetae diet
zagon zagonis geometry
zamia zamiae damage
zea zeae grain
zebra zebrae zebra
zelotypia zelotypiae jealousy
zelus zeli fervor
zenodochium zenodochii guest-house
